influx tag,"Antenna
name",Cosmic ray subarray,"Antenna
type",Latitude ITRF2000(1997.0),Longitude  ITRF2000(1997.0),Elevation (meters HAE),X (m),Y (m),"Used in
LWA-352",Online,Pol A FEE #,Pol B FEE #,Pol A Ant cable status,Pol B Ant cable status,"ARX board
location #",ARX Serial Number,ARX board address,"Pol A ARX
channel #",,"Pol B ARX
channel #",,"SNAP2
board ID","SNAP2
chassis #","SNAP2
location #",SNAP2 MAC Address,"SNAP2
hostname",FMC #,"Pol A digitizer
channel #","Pol B digitizer
channel #",Pol A FPGA Input #,Pol B FPGA Input #,Correlator number,Notes,,,
dict_key,antname,,ant_type,latitude,longitude,elevation,x,y,used,online,pola_fee,polb_fee,pola_resistance,polb_resistance,arx_location,arx_serial,arx_address,pola_arx_channel,check1,polb_arx_channel,check2,snap2_serial,snap2_chassis,snap2_location,snap2_mac,snap2_hostname,fmc,pola_digitizer_channel,polb_digitizer_channel,pola_fpga_num,polb_fpga_num,corr_num,notes,,,
description,LWA-001,G,Coaxial,37.24045204,-118.2809073,1182.97,67.38,74.89,YES,YES,0221,1343,OK,OK,15,40,15,3,1503,4,1504,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,0,1,2,3,65,FEE installed 10/28/2021,,,
,LWA-002,G,Coaxial,37.24036564,-118.2809436,1182.73,64.16,65.30,YES,YES,0211,1379,OK,OK,15,40,15,5,1505,6,1506,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,2,3,0,1,64,FEE installed 10/28/2021,,,
,LWA-013,A,Coaxial,37.23983072,-118.2808512,1182.49,72.36,5.93,YES,YES,0486,0265,OK,OK,18,37,18,9,1809,10,1810,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,2,3,0,1,96,FEE installed 11/03/2021,,,
,LWA-030,C,Coaxial,37.23930735,-118.2807559,1182.34,80.82,-52.15,YES,YES,0774,0886,OK,OK,21,34,21,13,2113,14,2114,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,2,3,0,1,128,FEE installed 10/29/2021,,,
,LWA-035,I,Coaxial,37.24037499,-118.2811744,1182.65,43.69,66.34,YES,YES,0338,0572,OK,OK,25,31,25,1,2501,2,2502,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,2,3,0,1,160,FEE installed 11/08/2021,,,
,LWA-078,H,Coaxial,37.2398323,-118.2813838,1182.95,25.10,6.11,YES,YES,0491,0655,OK,OK,28,18,28,9,2809,10,2810,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,2,3,0,1,192,FEE installed 11/01/2021,,,
,LWA-124,B,Coaxial,37.23928088,-118.2816161,1182.87,4.49,-55.09,YES,YES,0475,0229,OK,OK,32,20,32,3,3203,4,3204,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,2,3,0,1,224,FEE installed on 11/04/2021,,,
,LWA-135,F,Coaxial,37.24030174,-118.2818566,1182.80,-16.85,58.21,YES,YES,0334,0571,OK,OK,35,29,35,7,3507,8,3508,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,2,3,0,1,256,FEE installed on 11/04/2021,,,
,LWA-170,D,Coaxial,37.2399539,-118.2820836,1183.19,-36.99,19.60,YES,YES,0507,0103,OK,OK,38,43,38,13,3813,14,3814,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,2,3,0,1,288,FEE installed on 11/04/2021,,,
,LWA-177,E,Coaxial,37.23969309,-118.2820188,1183.03,-31.24,-9.34,YES,YES,0493,0632,OK,OK,42,47,42,3,4203,4,4204,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,2,3,0,1,320,FEE installed on 11/03/2021,,,
,LWA-257,K,Fiber,37.23745241,-118.2894516,1179.72,-690.78,-258.02,YES,YES,504,272,,,5,4101,5,1,501,2,502,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,2,3,0,1,32,,,,
,LWA-266,J,Fiber,37.24245623,-118.2846393,1184.34,-263.75,297.32,YES,YES,456,166,,,1,4102,1,3,103,4,104,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,2,3,0,1,0,,,,
,LWA-255,K,Coaxial,37.2398291,-118.2846536,1184.06,-265.03,5.75,YES,YES,0539,1655,OK,OK,15,40,15,1,1501,2,1502,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,0,1,1,3,32.5,,,,
,LWA-016,A,Coaxial,37.23977846,-118.2806593,1182.51,89.39,0.13,YES,YES,0721,0855,OK,OK,18,37,18,7,1807,8,1808,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,0,1,2,3,97,FEE installed 10/28/2021,,,
,LWA-028,C,Coaxial,37.23938287,-118.280947,1182.43,63.86,-43.77,YES,YES,0785,0921,OK,OK,21,34,21,11,2111,12,2112,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,0,1,2,3,129,FEE installed 10/29/2021,,,
,LWA-033,I,Coaxial,37.24060946,-118.2811742,1182.89,43.70,92.36,YES,YES,0795,0888,OK,OK,24,43,24,15,2415,16,2416,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,0,1,2,3,161,FEE installed 10/29/2021,,,
,LWA-076,H,Coaxial,37.23986358,-118.2814407,1182.80,20.05,9.58,YES,YES,0183,0119,OK,OK,28,18,28,7,2807,8,2808,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,0,1,2,3,193,FEE installed 11/01/2021,,,
,LWA-127,B,Coaxial,37.23903889,-118.281623,1182.69,3.88,-81.95,YES,YES,0518,0269,OK,OK,32,20,32,1,3201,2,3202,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,0,1,2,3,225,FEE installed on 11/11/2021,,,
,LWA-133,F,Coaxial,37.24046316,-118.2818408,1183.34,-15.45,76.12,YES,YES,123,394,OK,OK,35,29,35,5,3505,6,3506,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,0,1,2,3,257,FEE installed on 11/04/2021,,,
 ,LWA-234,D,Coaxial,37.23984739,-118.2825971,1183.40,-82.56,7.78,YES,YES,0210,1385,OK,OK,38,43,38,11,3811,12,3812,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,0,1,2,3,289,FEE installed 8/24/2021,,,
,LWA-247,E,Coaxial,37.23939337,-118.2825843,1183.09,-81.42,-42.61,YES,YES,0551,1649,OK,OK,42,47,42,1,4201,2,4202,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,0,1,2,3,321,FEE installed 8/24/2021,,,
,LWA-259,J,Fiber,37.2480995,-118.2842507,1184.91,-229.25,923.62,YES,YES,620,369,,,1,4102,1,1,101,2,102,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,0,1,2,3,1,,,,
,LWA-004,G,Coaxial,37.24020102,-118.2809583,1182.80,62.86,47.03,YES,YES,0208,1382,OK,OK,15,40,15,9,1509,10,1510,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,6,7,4,5,66,FEE installed 10/28/2021,,,
,LWA-015,A,Coaxial,37.23978272,-118.2805856,1182.80,95.93,0.60,YES,YES,0548,1567,OK,OK,18,37,18,13,1813,14,1814,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,6,7,4,5,98,FEE installed 10/28/2021,,,
,LWA-032,C,Coaxial,37.2391542,-118.2809097,1182.81,67.17,-69.15,YES,YES,0711,0864,OK,OK,22,30,22,1,2201,2,2202,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,6,7,4,5,130,FEE installed 10/29/2021,,,
,LWA-034,I,Coaxial,37.24043901,-118.2810285,1182.58,56.63,73.44,YES,YES,0783,0914,OK,OK,25,31,25,5,2505,6,2506,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,6,7,4,5,162,FEE installed 10/29/2021,,,
,LWA-081,H,Coaxial,37.23969835,-118.2814297,1183.10,21.03,-8.76,YES,YES,0421,0169,OK,OK,28,18,28,13,2813,14,2814,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,6,7,4,5,194,FEE installed 11/04/2021,,,
,LWA-126,B,Coaxial,37.23911433,-118.2815178,1182.75,13.22,-73.57,YES,YES,0330,0573,OK,OK,32,20,32,7,3207,8,3208,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,6,7,4,5,226,FEE installed on 11/04/2021,,,
,LWA-137,F,Coaxial,37.2402568,-118.2818791,1182.80,-18.85,53.22,YES,YES,0442,0210,OK,OK,35,29,35,11,3511,12,3512,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,6,7,4,5,258,FEE installed on 11/04/2021,,,
,LWA-173,D,Coaxial,37.23983203,-118.2820776,1183.16,-36.46,6.08,YES,YES,0506,0582,OK,OK,39,44,39,1,3901,2,3902,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,6,7,4,5,290,"Cables unequal by 8 meters, FEE installed 9/3/2021",,,
,LWA-180,E,Coaxial,37.23956386,-118.2820611,1182.95,-34.99,-23.68,YES,YES,0328,0220,OK,OK,42,47,42,7,4207,8,4208,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,6,7,4,5,322,FEE installed on 11/03/2021,,,
,LWA-260,K,Fiber,37.24223261,-118.2882984,1183.18,-588.42,272.50,YES,YES,0724,0903,,,5,4101,5,5,505,6,506,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,6,7,4,5,34,,,,
,LWA-268,J,Fiber,37.24311944,-118.2850122,1184.67,-296.84,370.92,YES,YES,490,635,,,1,4102,1,7,107,8,108,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,6,7,4,5,2,,,,
,LWA-003,G,Coaxial,37.24033358,-118.2808305,1183.28,74.19,61.74,YES,YES,0186,1357,OK,OK,15,40,15,7,1507,8,1508,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,4,5,6,7,67,FEE installed 10/28/2021,,,
,LWA-014,A,Coaxial,37.23982754,-118.280985,1182.75,60.49,5.58,YES,YES,0733,0879,OK,OK,18,37,18,11,1811,12,1812,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,4,5,6,7,99,FEE installed 10/28/2021,,,
,LWA-031,C,Coaxial,37.23928152,-118.2809381,1182.45,64.65,-55.02,YES,YES,0729,0924,OK,OK,21,34,21,15,2115,16,2116,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,4,5,6,7,131,FEE installed 10/29/2021,,,
,LWA-036,I,Coaxial,37.24036176,-118.281272,1182.75,35.02,64.87,YES,YES,0320,0557,OK,OK,25,31,25,3,2503,4,2504,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,4,5,6,7,163,FEE installed 11/03/2021,,,
,LWA-079,H,Coaxial,37.2398006,-118.2814668,1183.08,17.74,2.59,YES,YES,0308,0577,OK,OK,28,18,28,11,2811,12,2812,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,4,5,6,7,195,FEE installed 11/04/2021,,,
,LWA-125,B,Coaxial,37.23912725,-118.2816052,1182.77,5.45,-72.14,YES,YES,0298,0540,OK,OK,32,20,32,5,3205,6,3206,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,4,5,6,7,227,FEE installed on 11/04/2021,,,
